Job Title,Required Skills,Location,Experience
Data Analyst,"Python, SQL, Excel",Delhi,1
Machine Learning Engineer,"Python, ML, TensorFlow, Pandas",Mumbai,2
Web Developer,"HTML, CSS, JavaScript",Delhi,0
Data Scientist,"Python, SQL, ML, Pandas",Delhi,3
Backend Developer,"Python, Django, SQL",Noida,2
Frontend Developer,"HTML, CSS, React",Pune,1
Database Administrator,"SQL, Oracle, Database Design",Delhi,3
AI Engineer,"Python, ML, Deep Learning",Bangalore,4
Business Analyst,"Excel, PowerBI, Communication",Delhi,2
DevOps Engineer,"AWS, Docker, Python",Hyderabad,3

